fecha,anio,mes,banco,indicador,monto_miles
31/12/2018,2018,12,BANBIF,TOTAL_ACTIVOS,8641081.964
31/12/2018,2018,12,BANBIF,PATRIMONIO,1064028.591
31/12/2018,2018,12,BANBIF,UTILIDAD_NETA,116394.804
31/12/2018,2018,12,BANCOM,TOTAL_ACTIVOS,1569536.271
31/12/2018,2018,12,BANCOM,PATRIMONIO,300010.946
31/12/2018,2018,12,BANCOM,UTILIDAD_NETA,30849.36
31/12/2018,2018,12,BBVA,TOTAL_ACTIVOS,46672128.321
31/12/2018,2018,12,BBVA,PATRIMONIO,8367363.473
31/12/2018,2018,12,BBVA,UTILIDAD_NETA,1476022.42
31/12/2018,2018,12,BCP,TOTAL_ACTIVOS,76454455.742
31/12/2018,2018,12,BCP,PATRIMONIO,16962327.49
31/12/2018,2018,12,BCP,UTILIDAD_NETA,3341940.03
31/12/2018,2018,12,FALABELLA,TOTAL_ACTIVOS,3787241.044
31/12/2018,2018,12,FALABELLA,PATRIMONIO,755748.765
31/12/2018,2018,12,FALABELLA,UTILIDAD_NETA,67396.226
31/12/2018,2018,12,GNB,TOTAL_ACTIVOS,4279953.535
31/12/2018,2018,12,GNB,PATRIMONIO,661698.547
31/12/2018,2018,12,GNB,UTILIDAD_NETA,51653.248
31/12/2018,2018,12,INTERBANK,TOTAL_ACTIVOS,30201002.041
31/12/2018,2018,12,INTERBANK,PATRIMONIO,5257435.697
31/12/2018,2018,12,INTERBANK,UTILIDAD_NETA,1040062.572
31/12/2018,2018,12,MIBANCO,TOTAL_ACTIVOS,12351198.294
31/12/2018,2018,12,MIBANCO,PATRIMONIO,1785979.199
31/12/2018,2018,12,MIBANCO,UTILIDAD_NETA,450737.471
31/12/2018,2018,12,PICHINCHA,TOTAL_ACTIVOS,6449437.178
31/12/2018,2018,12,PICHINCHA,PATRIMONIO,808691.025
31/12/2018,2018,12,PICHINCHA,UTILIDAD_NETA,51013.06
31/12/2018,2018,12,RIPLEY,TOTAL_ACTIVOS,2325026.809
31/12/2018,2018,12,RIPLEY,PATRIMONIO,457237.904
31/12/2018,2018,12,RIPLEY,UTILIDAD_NETA,67256.669
31/12/2018,2018,12,SANTANDER,TOTAL_ACTIVOS,2276122.818
31/12/2018,2018,12,SANTANDER,PATRIMONIO,703492.391
31/12/2018,2018,12,SANTANDER,UTILIDAD_NETA,83745.037
31/12/2018,2018,12,SCOTIABANK,TOTAL_ACTIVOS,39736198.245
31/12/2018,2018,12,SCOTIABANK,PATRIMONIO,8861097.866
31/12/2018,2018,12,SCOTIABANK,UTILIDAD_NETA,1280650.044
31/12/2019,2019,12,BANBIF,TOTAL_ACTIVOS,9129827.655
31/12/2019,2019,12,BANBIF,PATRIMONIO,1218666.814
31/12/2019,2019,12,BANBIF,UTILIDAD_NETA,157017.666
31/12/2019,2019,12,BANCOM,TOTAL_ACTIVOS,1690388.136
31/12/2019,2019,12,BANCOM,PATRIMONIO,337672.773
31/12/2019,2019,12,BANCOM,UTILIDAD_NETA,34618.682
31/12/2019,2019,12,BBVA,TOTAL_ACTIVOS,50646920.178
31/12/2019,2019,12,BBVA,PATRIMONIO,9195287.551
31/12/2019,2019,12,BBVA,UTILIDAD_NETA,1609899.652
31/12/2019,2019,12,BCP,TOTAL_ACTIVOS,82601365.382
31/12/2019,2019,12,BCP,PATRIMONIO,18837626.444
31/12/2019,2019,12,BCP,UTILIDAD_NETA,3622707.869
31/12/2019,2019,12,FALABELLA,TOTAL_ACTIVOS,4104910.354
31/12/2019,2019,12,FALABELLA,PATRIMONIO,801193.664
31/12/2019,2019,12,FALABELLA,UTILIDAD_NETA,95118.917
31/12/2019,2019,12,GNB,TOTAL_ACTIVOS,4055192.996
31/12/2019,2019,12,GNB,PATRIMONIO,778112.514
31/12/2019,2019,12,GNB,UTILIDAD_NETA,44003.643
31/12/2019,2019,12,INTERBANK,TOTAL_ACTIVOS,33717063.643
31/12/2019,2019,12,INTERBANK,PATRIMONIO,6022092.252
31/12/2019,2019,12,INTERBANK,UTILIDAD_NETA,1221516.336
31/12/2019,2019,12,MIBANCO,TOTAL_ACTIVOS,12330928.773
31/12/2019,2019,12,MIBANCO,PATRIMONIO,1964481.191
31/12/2019,2019,12,MIBANCO,UTILIDAD_NETA,391765.927
31/12/2019,2019,12,PICHINCHA,TOTAL_ACTIVOS,6891333.341
31/12/2019,2019,12,PICHINCHA,PATRIMONIO,905361.359
31/12/2019,2019,12,PICHINCHA,UTILIDAD_NETA,55325.551
31/12/2019,2019,12,RIPLEY,TOTAL_ACTIVOS,2557607.941
31/12/2019,2019,12,RIPLEY,PATRIMONIO,469751.988
31/12/2019,2019,12,RIPLEY,UTILIDAD_NETA,60881.157
31/12/2019,2019,12,SANTANDER,TOTAL_ACTIVOS,2357026.021
31/12/2019,2019,12,SANTANDER,PATRIMONIO,811086.926
31/12/2019,2019,12,SANTANDER,UTILIDAD_NETA,107847.196
31/12/2019,2019,12,SCOTIABANK,TOTAL_ACTIVOS,44914949.572
31/12/2019,2019,12,SCOTIABANK,PATRIMONIO,9846342.974
31/12/2019,2019,12,SCOTIABANK,UTILIDAD_NETA,1464740.137
31/12/2020,2020,12,BANBIF,TOTAL_ACTIVOS,11177313.953
31/12/2020,2020,12,BANBIF,PATRIMONIO,1300002.837
31/12/2020,2020,12,BANBIF,UTILIDAD_NETA,63882.235
31/12/2020,2020,12,BANCOM,TOTAL_ACTIVOS,2048486.233
31/12/2020,2020,12,BANCOM,PATRIMONIO,360994.845
31/12/2020,2020,12,BANCOM,UTILIDAD_NETA,23348.242
31/12/2020,2020,12,BBVA,TOTAL_ACTIVOS,74511095.633
31/12/2020,2020,12,BBVA,PATRIMONIO,9352588.314
31/12/2020,2020,12,BBVA,UTILIDAD_NETA,655135.69
31/12/2020,2020,12,BCP,TOTAL_ACTIVOS,120100227.366
31/12/2020,2020,12,BCP,PATRIMONIO,18761998.256
31/12/2020,2020,12,BCP,UTILIDAD_NETA,832889.233
31/12/2020,2020,12,FALABELLA,TOTAL_ACTIVOS,3749461.818
31/12/2020,2020,12,FALABELLA,PATRIMONIO,711003.517
